"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264"
"a.229",0,0,0,0,0,13,27,28,11,10,0,0,0,0,0,0,13,60,57,13,10,0,0,0,0,0,0,11,36,36,11,10,0,0,0,0,0,0,11,27,33,11,10,0,0,0,0,0,0,12,21,35,12,9,0,0,0,0,0,0,14,44,132,38,13,0,0,0,0,0,0,12,62,275,64,11,0,0,0,0,0,0,13,55,222,55,10,0,0,0,0,0,0,13,57,254,63,12,0,0,0,0,0,0,13,36,153,41,12,0,0,0,0,0,0,12,30,99,31,9,0,0,0,0,0,0,12,23,77,25,11,0,0,0,0,0,0,11,20,62,24,8,0,0,0,0,0,0,11,18,61,23,11,0,0,0,0,0,0,9,18,52,24,9,0,0,0,0,0,0,8,19,49,22,10,0,0,0,0,0,0,12,19,47,26,10,0,0,0,0,0,0,12,16,45,27,11,0,0,0,0,0,0,9,15,40,25,12,0,0,0,0,0,0,9,15,45,42,12,0,0,0,0,0,0,8,14,50,59,12,0,0,0,0,0,0,11,13,51,78,18,0,0,0,0,0,0,9,15,39,49,12,0,0,0,0,0,0,7,13,30,35,11,0
"a.230",0,0,0,0,12,24,12,11,8,0,0,0,0,0,0,19,64,20,9,9,0,0,0,0,0,0,22,72,28,10,10,0,0,0,0,0,0,19,63,30,11,10,0,0,0,0,0,0,17,47,27,11,10,0,0,0,0,0,0,15,37,22,10,10,0,0,0,0,0,0,12,38,32,12,9,0,0,0,0,0,0,13,55,71,14,9,0,0,0,0,0,0,13,40,50,12,10,0,0,0,0,0,0,12,31,35,12,8,0,0,0,0,0,0,15,66,179,37,12,0,0,0,0,0,0,14,72,239,41,12,0,0,0,0,0,0,13,51,155,31,13,0,0,0,0,0,0,13,36,100,26,8,0,0,0,0,0,0,11,30,81,20,11,0,0,0,0,0,0,11,26,63,18,10,0,0,0,0,0,0,11,26,70,32,13,0,0,0,0,0,0,11,29,127,98,16,0,0,0,0,0,0,12,26,90,67,14,0,0,0,0,0,0,14,23,64,46,15,0,0,0,0,0,0,12,21,70,73,17,0,0,0,0,0,0,12,23,102,179,27,0,0,0,0,0,0,9,19,74,119,19,0,0,0,0,0,0,11,18,51,65,14,0,0
"a.231",0,0,0,10,11,9,0,0,0,0,0,0,0,0,30,35,13,0,0,0,0,0,0,0,0,29,33,12,0,0,0,0,0,0,0,0,24,32,11,0,0,0,0,0,0,0,0,28,38,11,0,0,0,0,0,0,0,0,23,30,13,0,0,0,0,0,0,0,0,21,28,11,0,0,0,0,0,0,0,0,22,29,11,0,0,0,0,0,0,0,0,20,33,12,0,0,0,0,0,0,0,0,20,34,12,0,0,0,0,0,0,0,0,19,34,12,0,0,0,0,0,0,0,0,30,59,17,0,0,0,0,0,0,0,0,30,66,16,0,0,0,0,0,0,0,0,21,44,15,0,0,0,0,0,0,0,0,20,40,12,0,0,0,0,0,0,0,0,22,50,16,0,0,0,0,0,0,0,0,18,41,16,0,0,0,0,0,0,0,0,18,35,12,0,0,0,0,0,0,0,0,16,36,13,0,0,0,0,0,0,0,0,17,35,15,0,0,0,0,0,0,0,0,18,35,14,0,0,0,0,0,0,0,0,14,33,15,0,0,0,0,0,0,0,0,14,28,13,0,0,0,0,0,0,0,0,16,27,13,0,0,0,0,0
"a.232",0,0,0,8,14,10,0,0,0,0,0,0,0,0,19,47,15,0,0,0,0,0,0,0,0,20,52,16,0,0,0,0,0,0,0,0,20,51,16,0,0,0,0,0,0,0,0,27,99,25,0,0,0,0,0,0,0,0,22,73,22,0,0,0,0,0,0,0,0,21,71,21,0,0,0,0,0,0,0,0,19,60,19,0,0,0,0,0,0,0,0,17,47,17,0,0,0,0,0,0,0,0,20,59,20,0,0,0,0,0,0,0,0,17,59,19,0,0,0,0,0,0,0,0,16,46,17,0,0,0,0,0,0,0,0,17,44,17,0,0,0,0,0,0,0,0,18,71,26,0,0,0,0,0,0,0,0,18,66,26,0,0,0,0,0,0,0,0,15,45,18,0,0,0,0,0,0,0,0,15,39,18,0,0,0,0,0,0,0,0,14,34,17,0,0,0,0,0,0,0,0,13,35,18,0,0,0,0,0,0,0,0,15,32,17,0,0,0,0,0,0,0,0,15,29,16,0,0,0,0,0,0,0,0,11,28,16,0,0,0,0,0,0,0,0,10,29,17,0,0,0,0,0,0,0,0,13,27,14,0,0,0,0,0
"a.233",0,0,9,11,10,8,0,0,0,0,0,0,0,15,45,21,11,0,0,0,0,0,0,0,11,38,20,8,0,0,0,0,0,0,0,13,32,18,13,0,0,0,0,0,0,0,14,67,36,12,0,0,0,0,0,0,0,13,50,30,10,0,0,0,0,0,0,0,10,33,20,12,0,0,0,0,0,0,0,11,30,23,8,0,0,0,0,0,0,0,10,34,25,9,0,0,0,0,0,0,0,11,34,29,10,0,0,0,0,0,0,0,11,31,26,11,0,0,0,0,0,0,0,12,34,31,12,0,0,0,0,0,0,0,10,35,40,13,0,0,0,0,0,0,0,10,31,33,11,0,0,0,0,0,0,0,10,34,46,12,0,0,0,0,0,0,0,9,28,38,11,0,0,0,0,0,0,0,10,21,27,11,0,0,0,0,0,0,0,9,24,33,12,0,0,0,0,0,0,0,11,24,41,15,0,0,0,0,0,0,0,9,21,34,11,0,0,0,0,0,0,0,10,19,28,13,0,0,0,0,0,0,0,10,20,29,12,0,0,0,0,0,0,0,10,16,29,13,0,0,0,0,0,0,0,10,18,24,14,0,0,0,0,0
"a.234",0,0,0,0,10,9,10,9,0,0,0,0,0,0,0,15,28,12,9,0,0,0,0,0,0,0,17,26,12,11,0,0,0,0,0,0,0,10,18,11,7,0,0,0,0,0,0,0,11,19,13,11,0,0,0,0,0,0,0,11,19,11,8,0,0,0,0,0,0,0,12,19,13,10,0,0,0,0,0,0,0,10,19,15,9,0,0,0,0,0,0,0,12,20,16,10,0,0,0,0,0,0,0,10,16,14,10,0,0,0,0,0,0,0,10,19,19,10,0,0,0,0,0,0,0,11,22,26,11,0,0,0,0,0,0,0,11,20,29,12,0,0,0,0,0,0,0,11,32,60,16,0,0,0,0,0,0,0,11,32,65,16,0,0,0,0,0,0,0,12,24,48,14,0,0,0,0,0,0,0,12,22,41,13,0,0,0,0,0,0,0,10,20,45,18,0,0,0,0,0,0,0,11,19,41,19,0,0,0,0,0,0,0,10,16,43,19,0,0,0,0,0,0,0,11,16,38,20,0,0,0,0,0,0,0,10,12,31,17,0,0,0,0,0,0,0,11,16,32,22,0,0,0,0,0,0,0,9,13,34,25,0,0,0
"a.235",0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,0,24,27,0,0,0,0,0,0,0,0,0,31,35,0,0,0,0,0,0,0,0,0,28,30,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0
"a.236",20,13,10,0,0,0,0,0,0,0,0,120,35,10,0,0,0,0,0,0,0,0,106,27,11,0,0,0,0,0,0,0,0,72,27,9,0,0,0,0,0,0,0,0,52,22,11,0,0,0,0,0,0,0,0,60,37,13,0,0,0,0,0,0,0,0,103,69,13,0,0,0,0,0,0,0,0,90,68,13,0,0,0,0,0,0,0,0,74,60,14,0,0,0,0,0,0,0,0,51,41,10,0,0,0,0,0,0,0,0,41,33,11,0,0,0,0,0,0,0,0,45,51,12,0,0,0,0,0,0,0,0,42,53,14,0,0,0,0,0,0,0,0,39,50,12,0,0,0,0,0,0,0,0,36,45,14,0,0,0,0,0,0,0,0,33,55,14,0,0,0,0,0,0,0,0,30,51,15,0,0,0,0,0,0,0,0,25,41,13,0,0,0,0,0,0,0,0,25,36,13,0,0,0,0,0,0,0,0,25,48,17,0,0,0,0,0,0,0,0,24,50,18,0,0,0,0,0,0,0,0,19,38,15,0,0,0,0,0,0,0,0,24,48,19,0,0,0,0,0,0,0,0,21,67,34,0,0,0,0,0,0,0,0
"a.237",0,0,0,19,70,46,15,8,0,0,0,0,0,0,39,354,198,19,10,0,0,0,0,0,0,24,205,115,15,10,0,0,0,0,0,0,27,161,92,13,11,0,0,0,0,0,0,44,265,101,14,11,0,0,0,0,0,0,26,148,63,12,9,0,0,0,0,0,0,21,103,92,18,10,0,0,0,0,0,0,18,95,141,24,10,0,0,0,0,0,0,18,70,88,17,9,0,0,0,0,0,0,12,59,67,15,10,0,0,0,0,0,0,14,54,67,19,11,0,0,0,0,0,0,14,44,71,19,8,0,0,0,0,0,0,13,43,59,20,9,0,0,0,0,0,0,11,37,48,17,10,0,0,0,0,0,0,13,34,45,19,9,0,0,0,0,0,0,12,30,47,23,9,0,0,0,0,0,0,12,30,39,21,13,0,0,0,0,0,0,11,28,35,20,10,0,0,0,0,0,0,11,25,32,29,11,0,0,0,0,0,0,9,23,41,48,10,0,0,0,0,0,0,10,24,37,41,12,0,0,0,0,0,0,13,21,29,38,11,0,0,0,0,0,0,10,22,27,38,15,0,0,0,0,0,0,11,19,26,41,13,0,0,0
"a.238",0,0,10,16,16,0,0,0,0,0,0,0,0,19,96,50,0,0,0,0,0,0,0,0,14,86,39,0,0,0,0,0,0,0,0,13,57,30,0,0,0,0,0,0,0,0,20,104,57,0,0,0,0,0,0,0,0,16,112,53,0,0,0,0,0,0,0,0,16,78,37,0,0,0,0,0,0,0,0,21,108,47,0,0,0,0,0,0,0,0,27,183,64,0,0,0,0,0,0,0,0,24,156,51,0,0,0,0,0,0,0,0,18,107,37,0,0,0,0,0,0,0,0,16,75,29,0,0,0,0,0,0,0,0,15,58,27,0,0,0,0,0,0,0,0,13,57,23,0,0,0,0,0,0,0,0,14,65,25,0,0,0,0,0,0,0,0,17,71,31,0,0,0,0,0,0,0,0,16,63,26,0,0,0,0,0,0,0,0,13,53,22,0,0,0,0,0,0,0,0,13,48,21,0,0,0,0,0,0,0,0,15,56,23,0,0,0,0,0,0,0,0,14,57,23,0,0,0,0,0,0,0,0,15,54,21,0,0,0,0,0,0,0,0,15,51,21,0,0,0,0,0,0,0,0,12,47,19,0,0,0,0,0,0
"a.239",10,9,7,11,8,8,9,10,8,9,0,9,10,10,11,11,12,23,29,11,12,0,7,11,9,8,9,12,45,68,13,12,0,9,9,9,10,11,11,32,46,13,9,0,11,10,10,8,11,15,65,164,28,11,0,8,10,10,7,9,11,76,232,31,11,0,10,11,9,13,8,11,44,127,22,8,0,12,10,9,10,23,78,123,255,166,35,0,8,9,9,10,31,102,136,269,192,44,0,8,10,12,37,78,67,104,206,105,29,0,8,9,29,80,71,40,71,134,63,17,0,10,12,27,56,40,30,47,94,47,17,0,16,49,70,40,27,25,39,83,47,14,0,40,209,132,36,20,22,34,73,44,15,0,60,141,85,24,19,18,30,68,45,14,0,73,85,53,21,19,17,29,67,53,13,0,70,54,37,20,18,16,26,67,62,16,0,64,38,29,15,14,16,25,59,74,17,0,43,31,24,16,17,17,20,52,62,15,0,29,29,23,14,14,13,19,47,51,14,0,23,26,22,14,14,14,20,42,42,15,0,23,25,19,15,14,15,21,38,39,15,0,22,23,20,13,13,14,19,36,47,17,0,19,19,19,14,14,13,18,34,45,17,0
"a.240",0,0,0,0,0,10,11,10,0,0,0,0,0,0,0,0,18,36,14,0,0,0,0,0,0,0,0,19,40,12,0,0,0,0,0,0,0,0,19,41,13,0,0,0,0,0,0,0,0,15,33,10,0,0,0,0,0,0,0,0,15,22,10,0,0,0,0,0,0,0,0,16,32,11,0,0,0,0,0,0,0,0,22,40,13,0,0,0,0,0,0,0,0,19,31,12,0,0,0,0,0,0,0,0,18,27,12,0,0,0,0,0,0,0,0,15,28,10,0,0,0,0,0,0,0,0,18,25,12,0,0,0,0,0,0,0,0,17,28,12,0,0,0,0,0,0,0,0,26,45,11,0,0,0,0,0,0,0,0,30,51,12,0,0,0,0,0,0,0,0,27,45,12,0,0,0,0,0,0,0,0,25,39,11,0,0,0,0,0,0,0,0,21,33,11,0,0,0,0,0,0,0,0,19,28,10,0,0,0,0,0,0,0,0,18,27,9,0,0,0,0,0,0,0,0,23,28,9,0,0,0,0,0,0,0,0,19,29,12,0,0,0,0,0,0,0,0,23,30,10,0,0,0,0,0,0,0,0,22,28,9,0,0,0
"a.241",0,0,0,0,12,14,11,0,0,0,0,0,0,0,0,19,71,18,0,0,0,0,0,0,0,0,24,95,24,0,0,0,0,0,0,0,0,21,91,23,0,0,0,0,0,0,0,0,32,150,40,0,0,0,0,0,0,0,0,27,128,32,0,0,0,0,0,0,0,0,21,91,26,0,0,0,0,0,0,0,0,21,92,28,0,0,0,0,0,0,0,0,17,68,20,0,0,0,0,0,0,0,0,17,59,19,0,0,0,0,0,0,0,0,15,62,21,0,0,0,0,0,0,0,0,20,65,22,0,0,0,0,0,0,0,0,17,64,24,0,0,0,0,0,0,0,0,19,76,23,0,0,0,0,0,0,0,0,19,79,28,0,0,0,0,0,0,0,0,18,68,28,0,0,0,0,0,0,0,0,17,74,27,0,0,0,0,0,0,0,0,21,125,46,0,0,0,0,0,0,0,0,24,141,53,0,0,0,0,0,0,0,0,16,92,35,0,0,0,0,0,0,0,0,17,72,29,0,0,0,0,0,0,0,0,15,57,24,0,0,0,0,0,0,0,0,13,46,20,0,0,0,0,0,0,0,0,13,43,19,0,0,0,0
"a.242",0,0,10,14,11,0,0,0,0,0,0,0,0,59,133,24,0,0,0,0,0,0,0,0,42,103,18,0,0,0,0,0,0,0,0,26,57,12,0,0,0,0,0,0,0,0,22,46,13,0,0,0,0,0,0,0,0,18,38,10,0,0,0,0,0,0,0,0,18,40,12,0,0,0,0,0,0,0,0,15,40,12,0,0,0,0,0,0,0,0,22,62,16,0,0,0,0,0,0,0,0,18,61,19,0,0,0,0,0,0,0,0,21,57,17,0,0,0,0,0,0,0,0,16,48,16,0,0,0,0,0,0,0,0,15,36,14,0,0,0,0,0,0,0,0,16,34,12,0,0,0,0,0,0,0,0,15,36,14,0,0,0,0,0,0,0,0,17,48,19,0,0,0,0,0,0,0,0,15,49,21,0,0,0,0,0,0,0,0,16,41,16,0,0,0,0,0,0,0,0,15,49,23,0,0,0,0,0,0,0,0,18,63,30,0,0,0,0,0,0,0,0,14,47,21,0,0,0,0,0,0,0,0,13,38,20,0,0,0,0,0,0,0,0,14,32,19,0,0,0,0,0,0,0,0,13,48,26,0,0,0,0,0,0
"a.243",0,0,0,0,0,0,14,22,14,9,0,0,0,0,0,0,0,20,69,17,10,0,0,0,0,0,0,0,17,44,17,11,0,0,0,0,0,0,0,15,29,14,10,0,0,0,0,0,0,0,12,31,16,10,0,0,0,0,0,0,0,20,102,63,13,0,0,0,0,0,0,0,14,83,51,11,0,0,0,0,0,0,0,13,50,30,11,0,0,0,0,0,0,0,12,42,34,10,0,0,0,0,0,0,0,12,36,31,12,0,0,0,0,0,0,0,13,27,26,10,0,0,0,0,0,0,0,12,25,24,9,0,0,0,0,0,0,0,12,26,29,12,0,0,0,0,0,0,0,12,26,30,12,0,0,0,0,0,0,0,11,20,27,11,0,0,0,0,0,0,0,11,20,25,12,0,0,0,0,0,0,0,10,18,32,11,0,0,0,0,0,0,0,9,15,33,14,0,0,0,0,0,0,0,11,20,45,19,0,0,0,0,0,0,0,11,18,50,20,0,0,0,0,0,0,0,9,16,48,21,0,0,0,0,0,0,0,9,15,33,18,0,0,0,0,0,0,0,10,15,28,14,0,0,0,0,0,0,0,13,13,26,15,0
"a.244",0,8,8,12,12,0,0,0,0,0,0,0,11,29,49,12,0,0,0,0,0,0,0,10,38,60,16,0,0,0,0,0,0,0,12,36,57,10,0,0,0,0,0,0,0,10,23,35,13,0,0,0,0,0,0,0,10,32,45,16,0,0,0,0,0,0,0,11,39,61,17,0,0,0,0,0,0,0,12,35,55,11,0,0,0,0,0,0,0,11,31,46,13,0,0,0,0,0,0,0,11,30,44,9,0,0,0,0,0,0,0,11,32,42,13,0,0,0,0,0,0,0,11,55,70,16,0,0,0,0,0,0,0,13,57,72,12,0,0,0,0,0,0,0,11,42,52,12,0,0,0,0,0,0,0,9,32,37,12,0,0,0,0,0,0,0,8,29,32,9,0,0,0,0,0,0,0,11,39,45,13,0,0,0,0,0,0,0,10,41,43,11,0,0,0,0,0,0,0,9,33,31,10,0,0,0,0,0,0,0,11,30,30,10,0,0,0,0,0,0,0,9,29,30,9,0,0,0,0,0,0,0,9,28,30,10,0,0,0,0,0,0,0,10,31,29,11,0,0,0,0,0,0,0,12,49,44,13,0,0,0,0,0,0
"a.245",0,0,14,22,14,0,0,0,0,0,0,0,0,24,118,38,0,0,0,0,0,0,0,0,19,80,27,0,0,0,0,0,0,0,0,14,57,19,0,0,0,0,0,0,0,0,23,80,25,0,0,0,0,0,0,0,0,40,200,44,0,0,0,0,0,0,0,0,30,132,33,0,0,0,0,0,0,0,0,35,152,36,0,0,0,0,0,0,0,0,37,173,36,0,0,0,0,0,0,0,0,39,171,38,0,0,0,0,0,0,0,0,60,276,53,0,0,0,0,0,0,0,0,52,235,42,0,0,0,0,0,0,0,0,36,155,28,0,0,0,0,0,0,0,0,30,121,24,0,0,0,0,0,0,0,0,30,99,25,0,0,0,0,0,0,0,0,30,99,21,0,0,0,0,0,0,0,0,25,87,19,0,0,0,0,0,0,0,0,28,88,19,0,0,0,0,0,0,0,0,31,85,17,0,0,0,0,0,0,0,0,29,82,15,0,0,0,0,0,0,0,0,24,63,16,0,0,0,0,0,0,0,0,23,54,17,0,0,0,0,0,0,0,0,22,51,14,0,0,0,0,0,0,0,0,20,44,16,0,0,0,0,0,0
"a.246",0,0,11,7,9,8,0,0,0,0,0,0,0,16,29,38,13,0,0,0,0,0,0,0,15,143,205,24,0,0,0,0,0,0,0,11,98,141,18,0,0,0,0,0,0,0,11,55,80,13,0,0,0,0,0,0,0,9,37,52,12,0,0,0,0,0,0,0,9,32,41,10,0,0,0,0,0,0,0,11,32,48,13,0,0,0,0,0,0,0,9,42,64,15,0,0,0,0,0,0,0,11,36,61,13,0,0,0,0,0,0,0,11,40,66,15,0,0,0,0,0,0,0,10,35,61,11,0,0,0,0,0,0,0,9,29,48,11,0,0,0,0,0,0,0,9,27,44,11,0,0,0,0,0,0,0,12,28,46,14,0,0,0,0,0,0,0,10,30,54,15,0,0,0,0,0,0,0,11,29,47,12,0,0,0,0,0,0,0,9,30,55,15,0,0,0,0,0,0,0,10,27,46,13,0,0,0,0,0,0,0,10,26,44,14,0,0,0,0,0,0,0,10,26,59,13,0,0,0,0,0,0,0,10,27,59,12,0,0,0,0,0,0,0,10,28,63,13,0,0,0,0,0,0,0,11,30,65,15,0,0,0,0,0
"a.247",0,0,0,0,0,11,8,11,10,10,0,0,0,0,0,0,26,146,85,19,10,0,0,0,0,0,0,25,245,136,17,8,0,0,0,0,0,0,18,140,90,13,10,0,0,0,0,0,0,14,83,61,13,9,0,0,0,0,0,0,15,67,62,14,11,0,0,0,0,0,0,15,65,79,14,9,0,0,0,0,0,0,12,56,68,16,10,0,0,0,0,0,0,11,46,52,14,11,0,0,0,0,0,0,12,48,79,18,10,0,0,0,0,0,0,11,46,76,18,9,0,0,0,0,0,0,13,38,67,18,8,0,0,0,0,0,0,9,32,51,15,11,0,0,0,0,0,0,9,32,43,13,9,0,0,0,0,0,0,10,28,37,15,10,0,0,0,0,0,0,11,26,33,13,8,0,0,0,0,0,0,9,24,33,14,8,0,0,0,0,0,0,12,26,33,14,11,0,0,0,0,0,0,12,26,51,27,11,0,0,0,0,0,0,13,32,121,87,16,0,0,0,0,0,0,12,29,155,118,18,0,0,0,0,0,0,11,26,127,109,16,0,0,0,0,0,0,11,26,109,105,16,0,0,0,0,0,0,10,24,75,73,13,0
"a.248",0,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0,0,0,0,23,28,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,17,30,0,0,0,0,0,0,0,0,0,25,59,0,0,0,0,0,0,0,0,0,35,104,0,0,0,0,0,0,0,0,0,27,78,0,0,0,0,0,0,0,0,0,22,56,0,0,0,0,0,0,0,0,0,18,46,0,0,0,0,0,0,0,0,0,17,38,0,0,0,0,0,0,0,0,0,16,36,0,0,0,0,0,0,0,0,0,18,57,0,0,0,0,0,0,0,0,0,20,52,0,0,0,0,0,0,0,0,0,17,42,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,17,49,0,0,0,0,0,0,0,0,0,15,43,0,0,0,0,0,0,0,0,0,14,40
"a.249",0,0,0,0,0,12,11,10,0,0,0,0,0,0,0,0,53,229,56,0,0,0,0,0,0,0,0,43,216,44,0,0,0,0,0,0,0,0,30,128,31,0,0,0,0,0,0,0,0,22,88,24,0,0,0,0,0,0,0,0,21,71,18,0,0,0,0,0,0,0,0,16,55,16,0,0,0,0,0,0,0,0,26,75,23,0,0,0,0,0,0,0,0,34,127,26,0,0,0,0,0,0,0,0,33,120,27,0,0,0,0,0,0,0,0,30,99,24,0,0,0,0,0,0,0,0,51,168,32,0,0,0,0,0,0,0,0,42,142,29,0,0,0,0,0,0,0,0,29,98,21,0,0,0,0,0,0,0,0,32,94,21,0,0,0,0,0,0,0,0,28,83,16,0,0,0,0,0,0,0,0,25,64,19,0,0,0,0,0,0,0,0,22,58,16,0,0,0,0,0,0,0,0,20,50,15,0,0,0,0,0,0,0,0,17,42,13,0,0,0,0,0,0,0,0,18,38,15,0,0,0,0,0,0,0,0,16,34,12,0,0,0,0,0,0,0,0,18,33,13,0,0,0,0,0,0,0,0,12,29,11,0,0,0
"a.250",0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0
"a.251",0,0,0,9,11,9,8,0,0,0,0,0,0,0,22,134,103,18,0,0,0,0,0,0,0,18,160,122,15,0,0,0,0,0,0,0,12,80,60,12,0,0,0,0,0,0,0,12,57,43,11,0,0,0,0,0,0,0,14,67,49,12,0,0,0,0,0,0,0,12,61,39,12,0,0,0,0,0,0,0,11,41,30,11,0,0,0,0,0,0,0,10,38,27,11,0,0,0,0,0,0,0,11,43,30,9,0,0,0,0,0,0,0,12,44,29,10,0,0,0,0,0,0,0,13,42,29,11,0,0,0,0,0,0,0,12,43,27,10,0,0,0,0,0,0,0,10,38,25,10,0,0,0,0,0,0,0,11,30,21,9,0,0,0,0,0,0,0,10,34,24,10,0,0,0,0,0,0,0,10,32,22,9,0,0,0,0,0,0,0,17,74,37,14,0,0,0,0,0,0,0,31,230,96,16,0,0,0,0,0,0,0,24,169,69,11,0,0,0,0,0,0,0,17,93,41,11,0,0,0,0,0,0,0,16,63,31,10,0,0,0,0,0,0,0,14,54,26,10,0,0,0,0,0,0,0,12,48,26,10,0,0,0,0
"a.252",0,0,0,0,0,0,27,68,10,0,0,0,0,0,0,0,0,25,70,17,0,0,0,0,0,0,0,0,20,56,16,0,0,0,0,0,0,0,0,19,59,15,0,0,0,0,0,0,0,0,19,54,15,0,0,0,0,0,0,0,0,18,43,17,0,0,0,0,0,0,0,0,13,41,16,0,0,0,0,0,0,0,0,12,36,16,0,0,0,0,0,0,0,0,17,39,13,0,0,0,0,0,0,0,0,19,63,15,0,0,0,0,0,0,0,0,16,49,19,0,0,0,0,0,0,0,0,13,35,16,0,0,0,0,0,0,0,0,14,39,14,0,0,0,0,0,0,0,0,22,90,17,0,0,0,0,0,0,0,0,19,84,34,0,0,0,0,0,0,0,0,15,56,30,0,0,0,0,0,0,0,0,14,46,21,0,0,0,0,0,0,0,0,14,38,19,0,0,0,0,0,0,0,0,15,38,17,0,0,0,0,0,0,0,0,14,39,18,0,0,0,0,0,0,0,0,14,47,20,0,0,0,0,0,0,0,0,14,50,25,0,0,0,0,0,0,0,0,12,38,28,0,0,0,0,0,0,0,0,12,38,23,0,0
